predict,p1
1,1
0,3.43E-07
1,0.999695912
1,1
1,0.110773192
1,1
0,3.07E-23
1,0.999972598
0,3.06E-16
0,2.45E-11
0,8.15E-18
1,0.879301434
0,8.24E-06
1,1
1,0.999936941
0,9.08E-04
1,0.963442613
1,0.999999688
0,7.38E-18
1,1
0,2.97E-23
1,1
1,0.98659288
1,1
0,0.053556872
0,1.67E-07
0,7.67E-07
0,4.33E-09
0,5.94E-19
1,0.999999982
1,0.999999998
0,8.19E-05
0,1.38E-21
0,3.58E-05
1,1
0,5.96E-14
1,1
0,1.26E-08
0,1.16E-15
1,0.999999999
1,1
1,0.999999999
0,5.85E-09
0,1.18E-19
1,1
0,2.39E-17
1,1
1,1
1,0.999983301
1,1
1,1
1,1
0,0.002325451
0,3.81E-04
1,0.999999761
0,0.008142859
0,6.20E-17
1,1
1,1
0,5.91E-11
0,3.65E-14
1,0.99999606
0,2.63E-11
0,5.62E-08
1,1
0,1.32E-08
0,4.55E-09
0,1.04E-22
1,1
1,1
0,4.25E-19
1,1
1,1
0,2.08E-18
1,0.622194982
1,1
0,2.53E-15
1,1
1,0.935007024
0,4.80E-10
1,0.785662433
0,3.22E-18
1,1
1,0.687442778
1,1
0,6.14E-16
1,0.999412139
0,0.037300559
0,0.003594362
1,0.999999832
1,1
0,9.36E-06
0,1.72E-09
0,3.59E-16
0,1.88E-13
0,1.07E-12
1,1
1,1
0,3.19E-05
1,0.851510017
1,1
0,2.47E-15
1,1
1,1
0,0.013706269
1,1
1,1
1,1
0,3.84E-10
0,1.62E-14
1,1
0,7.27E-21
0,1.43E-13
1,0.999999991
1,1
0,1.07E-20
0,2.02E-07
0,1.81E-15
0,0.002381131
1,0.999999988
1,1
1,1
1,0.441502866
1,0.98541822
1,1
1,0.260718738
1,1
1,0.999962192
0,2.83E-04
0,3.08E-14
1,1
1,1
0,4.71E-08
0,3.31E-25
1,1
0,4.68E-16
1,1
0,3.67E-39
1,1
1,1
0,2.05E-06
1,1
1,1
0,1.18E-11
1,1
1,1
1,1
1,0.932237857
1,1
1,0.833332288
1,1
1,0.999624793
1,1
1,1
1,0.999999998
1,1
1,1
1,1
0,2.36E-16
0,5.37E-19
0,1.82E-17
1,0.99999999
1,1
0,3.25E-09
1,1
0,4.36E-13
0,1.94E-07
1,1
1,0.67030796
0,5.84E-13
1,1
1,1
0,4.01E-09
0,9.18E-10
1,0.999997334
1,1
1,0.999999994
0,0.007848109
0,1.46E-10
0,3.65E-04
1,1
1,1
0,5.88E-09
0,1.24E-16
0,1.15E-09
1,1
0,1.09E-13
1,0.999999899
0,5.23E-05
1,1
0,2.35E-12
0,1.48E-12
0,1.49E-12
1,1
1,0.084161403
0,6.62E-08
1,1
1,0.999999896
1,1
0,1.15E-06
1,0.920232493
0,0.001749898
1,1
1,0.999999992
0,5.49E-04
1,0.999999999
1,1
1,0.209672521
1,1
1,0.999999952
1,1
1,1
0,1.68E-12
1,1
1,1
1,0.219458107
1,1
1,0.999999998
0,1.15E-08
0,2.44E-07
0,2.06E-22
0,2.34E-13
0,5.19E-16
1,0.839695574
1,1
0,7.49E-11
0,0.008774025
0,7.04E-13
0,1.67E-11
1,1
1,0.779988772
1,0.999999557
0,2.00E-09
1,0.998744445
0,4.43E-16
0,2.05E-14
1,0.999999992
1,1
0,3.44E-17
0,3.41E-17
1,0.999979841
1,0.999999935
0,3.46E-11
1,0.463996657
1,1
1,0.213710067
0,3.35E-12
0,7.12E-31
1,1
0,3.61E-11
0,1.65E-11
1,1
1,0.937909108
1,1
0,3.22E-11
0,4.62E-14
1,0.999994481
0,6.70E-14
0,1.55E-09
1,1
0,2.10E-12
1,0.999999997
0,7.26E-06
1,1
1,1
0,8.94E-11
1,0.996388748
1,0.731662114
0,2.09E-19
1,0.999999864
1,1
1,1
1,0.973973634
1,1
1,0.819753258
1,0.371425465
0,3.13E-21
0,3.25E-17
1,1
1,1
0,9.76E-04
0,1.34E-08
1,1
0,2.58E-06
0,6.25E-12
0,7.72E-16
0,2.85E-30
1,0.759942139
0,5.89E-25
1,0.999999812
1,1
1,0.999970484
0,3.07E-08
0,1.74E-11
0,1.45E-19
0,4.13E-04
0,2.91E-10
0,1.66E-17
0,6.15E-21
0,5.04E-20
0,0.001256941
1,1
1,1
0,6.88E-10
1,1
0,7.12E-10
1,1
0,1.23E-06
0,3.97E-12
1,1
0,2.09E-21
0,6.98E-06
1,0.999999999
1,1
0,3.15E-07
1,1
0,2.28E-08
1,1
1,1
1,0.999988204
1,0.165048117
1,1
1,1
1,1
1,0.99987288
0,5.72E-04
1,1
1,1
1,0.997166157
1,1
0,2.61E-13
1,0.999999815
0,9.28E-04
1,0.999999999
1,0.622399015
0,2.32E-20
1,1
1,1
0,1.08E-13
0,0.021355515
1,1
1,1
1,0.980466588
1,0.999999999
1,1
0,9.22E-07
1,0.875883246
0,2.27E-07
0,3.83E-04
0,2.48E-04
1,1
0,4.41E-15
0,4.10E-11
0,9.90E-07
1,1
1,1
1,0.998054982
1,1
0,1.48E-22
1,0.997937739
1,0.999999993
1,1
1,1
1,1
1,1
1,0.999821172
1,1
1,1
1,1
0,6.78E-04
1,0.999999717
0,0.008424518
0,2.01E-16
1,0.999500511
1,1
0,6.00E-09
0,0.052615584
0,1.45E-16
1,0.954686645
0,6.94E-07
1,0.999998189
1,1
1,1
0,3.01E-09
0,5.55E-18
0,2.51E-11
1,1
1,1
1,1
1,0.592585385
0,3.88E-11
0,3.52E-18
1,0.119272079
0,3.26E-25
1,1
1,1
0,9.83E-21
0,1.84E-21
1,1
0,0.010348743
1,0.999999997
0,1.58E-15
1,1
0,1.42E-17
0,1.16E-17
0,2.84E-10
1,0.6513635
1,1
1,1
0,2.14E-15
1,0.999998747
0,7.17E-30
1,0.536775567
0,3.00E-23
0,3.21E-12
1,1
0,4.86E-14
0,1.02E-17
1,1
0,3.02E-09
1,0.999998918
1,0.490772742
1,1
0,8.73E-11
1,1
1,1
1,1
1,0.999999994
1,0.998050507
1,0.941266592
1,1
1,0.905519363
1,0.999996705
0,0.023884173
0,1.77E-09
1,1
1,0.999976141
1,0.999999998
1,1
1,1
0,1.33E-04
0,1.28E-14
0,0.00477502
0,1.64E-08
1,1
1,0.995320325
1,1
0,1.41E-15
0,1.23E-17
1,0.999998888
0,5.29E-15
0,3.12E-14
1,1
1,0.999999996
0,5.90E-07
1,0.999999861
1,0.991652736
1,1
1,1
1,1
1,0.962170034
1,0.999923295
0,6.36E-14
1,1
1,0.076992135
1,1
0,1.18E-19
1,0.999994145
1,1
0,1.82E-08
