test_id,is_female_rf,is_female_drf_h2o,is_female_more_epoch_nn,more-nn,is_female
0,0.99,0.988495408,1,0.999640133,0.994533885
1,0.18,0.154524668,3.43E-07,0.725172522,0.111508337
2,0.975,0.979838938,0.999695912,0.905530176,0.98484495
3,0.88,0.900832448,1,0.999972864,0.926944149
4,0.615,0.727276323,0.110773192,0.418476077,0.484349838
5,1,1,1,0.999585702,1
6,0.02,0.068999364,3.07E-23,1.47E-05,0.029666455
7,0.86,0.909709807,0.999972598,0.994132464,0.923227468
8,0.055,0.099243465,3.06E-16,0.033658175,0.051414488
9,0.215,0.22452351,2.45E-11,0.008870426,0.146507837
10,0.02,0.01159238,8.15E-18,1.97E-04,0.010530793
11,0.3,0.239472062,0.879301434,0.663883881,0.472924499
12,0.365,0.372186745,8.24E-06,0.085911186,0.245731661
13,0.78,0.804559511,1,0.986753434,0.861519837
14,0.825,0.849046951,0.999936941,0.964904992,0.891327964
15,0.63,0.73092435,9.08E-04,0.65107167,0.453944045
16,0.39,0.370794089,0.963442613,0.027112381,0.574745567
17,0.76,0.788539377,0.999999688,0.983882973,0.849513022
18,0.045,0.038666963,7.38E-18,2.85E-05,0.027888988
19,0.845,0.81370979,1,0.990599688,0.886236597
20,0.03,0.05378059,2.97E-23,1.36E-05,0.027926863
21,0.97,0.971158335,1,0.999999945,0.980386112
22,0.635,0.663029863,0.98659288,0.999593455,0.761540915
23,0.92,0.918562208,1,0.998888428,0.946187403
24,0.56,0.513512323,0.053556872,0.561942814,0.375689732
25,0.46,0.469986035,1.67E-07,0.128753647,0.3099954
26,0.31,0.388161604,7.67E-07,0.002769231,0.23272079
27,0.48,0.576815764,4.33E-09,0.338501225,0.352271923
28,0.07,0.038496784,5.94E-19,3.35E-04,0.036165595
29,0.835,0.822833951,0.999999982,0.990057209,0.885944644
30,0.98,1,0.999999998,0.999682379,0.993333333
31,0.27,0.275459456,8.19E-05,0.380965285,0.181847106
32,0.01,0.023147528,1.38E-21,6.03E-04,0.011049176
33,0.23,0.33981063,3.58E-05,0.025429722,0.189948806
34,0.97,0.965357808,1,0.999996892,0.978452603
35,0.02,0.046146843,5.96E-14,1.20E-04,0.022048948
36,1,0.99425303,1,0.989592505,0.998084343
37,0.06,0.05378059,1.26E-08,0.001713051,0.037926868
38,0.215,0.21405774,1.16E-15,0.002221045,0.143019247
39,0.8,0.792318319,0.999999999,0.984243729,0.864106106
40,0.98,0.982727105,1,0.999783264,0.987575702
41,0.96,0.947891302,0.999999999,0.963890645,0.9692971
42,0.015,0,5.85E-09,0.009031461,0.005000002
