is_female,test_id
[ 0.01551563  0.98448437],0
[ 0.96301991  0.03698012],1
[ 0.01064986  0.98935014],2
[ 0.01175165  0.98824835],3
[ 0.249008  0.750992],4
[ 0.02245545  0.97754455],5
[ 0.93670464  0.06329537],6
[ 0.04886496  0.95113504],7
[ 0.96298164  0.03701834],8
[ 0.9237417   0.07625828],9
[ 0.9758504   0.02414962],10
[ 0.58344519  0.41655484],11
[ 0.49521542  0.50478458],12
[ 0.11344165  0.88655835],13
[ 0.26981711  0.73018289],14
[ 0.45150334  0.54849666],15
[ 0.62666225  0.37333778],16
[ 0.2297135  0.7702865],17
[ 0.94522607  0.05477392],18
[ 0.10060102  0.89939898],19
[ 0.97578669  0.02421333],20
[ 0.00349867  0.99650133],21
[ 0.0717265  0.9282735],22
[ 0.02807206  0.97192794],23
[ 0.5104692   0.48953077],24
[ 0.4736445  0.5263555],25
[ 0.83628392  0.16371605],26
[ 0.24610585  0.75389415],27
[ 0.94823986  0.05176011],28
[ 0.09565043  0.90434957],29
[ 0.02336615  0.97663385],30
[ 0.79973578  0.20026422],31
[ 0.99169749  0.00830252],32
[ 0.68262696  0.31737301],33
[ 0.00695777  0.99304223],34
[ 0.97731888  0.02268109],35
[ 0.02275014  0.97724986],36
[ 0.9703604   0.02963959],37
[ 0.96927315  0.03072683],38
[ 0.33923829  0.66076171],39
[ 0.01912475  0.98087525],40
[ 0.01977026  0.98022974],41
[ 0.97796941  0.02203059],42
[ 0.96504331  0.03495671],43
[ 0.44937885  0.55062115],44
[ 0.94034857  0.05965146],45
[ 0.00530833  0.99469167],46
[ 0.00994384  0.99005616],47
[ 0.64914423  0.35085577],48
[ 0.01017976  0.98982024],49
[ 0.01198941  0.98801059],50
[ 0.00661802  0.99338198],51
[ 0.38856745  0.61143255],52
[ 0.67392612  0.32607386],53
[ 0.11430925  0.88569075],54
[ 0.89465892  0.10534108],55
[ 0.09840745  0.90159255],56
[ 0.00684643  0.99315357],57
[ 0.0644058  0.9355942],58
[ 0.96853     0.03147001],59
[ 0.95005268  0.04994732],60
[ 0.32318532  0.67681468],61
[ 0.94722801  0.05277198],62
[ 0.90668786  0.09331214],63
[ 0.01157856  0.98842144],64
[ 0.90145195  0.09854804],65
[ 0.90950501  0.09049497],66
[ 0.99286801  0.00713202],67
[ 0.01112789  0.98887211],68
[ 0.00438774  0.99561226],69
[ 0.97238714  0.02761286],70
[ 0.01019281  0.98980719],71
[ 0.00522977  0.99477023],72
[ 0.9786424   0.02135757],73
[ 0.79003143  0.2099686 ],74
[ 0.02099013  0.97900987],75
[ 0.97674358  0.0232564 ],76
[ 0.03101909  0.96898091],77
[ 0.14142013  0.85857987],78
[ 0.98569572  0.01430425],79
[ 0.57885003  0.42115   ],80
[ 0.986525    0.01347498],81
[ 0.05131841  0.94868159],82
[ 0.8848471  0.1151529],83
[ 0.01726192  0.98273808],84
[ 0.96975517  0.03024485],85
[ 0.249008  0.750992],86
[ 0.83166552  0.16833445],87
[ 0.6813432   0.31865677],88
[ 0.78900832  0.2109917 ],89
[ 0.00845516  0.99154484],90
[ 0.67499298  0.32500702],91
[ 0.93289739  0.0671026 ],92
[ 0.93273306  0.06726696],93
[ 0.97533619  0.02466379],94
[ 0.98233098  0.017669  ],95
[ 0.04809141  0.95190859],96
[ 0.02342927  0.97657073],97
[ 0.520486    0.47951403],98
[ 0.38212878  0.61787122],99
[ 0.02166718  0.97833282],100
[ 0.96058589  0.0394141 ],101
[ 0.01301098  0.98698902],102
[ 0.00877213  0.99122787],103
[ 0.66284049  0.33715954],104
[ 0.01990622  0.98009378],105
[ 0.00888562  0.99111438],106
[ 0.00762844  0.99237156],107
[ 0.919909    0.08009103],108
[ 0.943959    0.05604099],109
[ 0.02068835  0.97931165],110
[ 0.98854774  0.01145223],111
[ 0.97678989  0.0232101 ],112
[ 0.01755667  0.98244333],113
[ 0.01977885  0.98022115],114
[ 0.99365681  0.00634316],115
[ 0.93967903  0.06032095],116
[ 0.98447371  0.01552629],117
[ 0.95715386  0.04284616],118
[ 0.11180043  0.88819957],119
[ 0.11834407  0.88165593],120
[ 0.02119768  0.97880232],121
[ 0.06719959  0.93280041],122
[ 0.79838294  0.20161705],123
[ 0.03562456  0.96437544],124
[ 0.91414165  0.08585837],125
[ 0.03885633  0.96114367],126
[ 0.07481194  0.92518806],127
[ 0.97028422  0.02971578],128
[ 0.98384142  0.01615861],129
[ 0.02395523  0.97604477],130
[ 0.01716155  0.98283845],131
[ 0.9818213  0.0181787],132
[ 0.98447841  0.01552158],133
[ 0.00852925  0.99147075],134
[ 0.9759621   0.02403788],135
[ 0.03452861  0.96547139],136
[ 0.99190742  0.00809256],137
[ 0.00394237  0.99605763],138
[ 0.03925133  0.96074867],139
[ 0.80999762  0.1900024 ],140
[ 0.00384903  0.99615097],141
[ 0.08068728  0.91931272],142
[ 0.90154874  0.09845123],143
[ 0.01610202  0.98389798],144
[ 0.05033922  0.94966078],145
[ 0.01441669  0.98558331],146
[ 0.6220488  0.3779512],147
[ 0.01040918  0.98959082],148
[ 0.42873514  0.57126486],149
[ 0.01677239  0.98322761],150
[ 0.54359925  0.45640078],151
[ 0.0096097  0.9903903],152
[ 0.1095984  0.8904016],153
[ 0.00835603  0.99164397],154
[ 0.03677702  0.96322298],155
[ 0.01262009  0.98737991],156
[ 0.00852376  0.99147624],157
[ 0.97551912  0.02448089],158
[ 0.97678     0.02322002],159
[ 0.94343734  0.05656264],160
[ 0.02956456  0.97043544],161
[ 0.00790226  0.99209774],162
[ 0.55202144  0.44797856],163
[ 0.02069354  0.97930646],164
[ 0.95847952  0.04152045],165
[ 0.91579533  0.0842047 ],166
[ 0.00632668  0.99367332],167
[ 0.02343082  0.97656918],168
[ 0.27146381  0.72853619],169
[ 0.49521893  0.50478107],170
[ 0.00484908  0.99515092],171
[ 0.74944866  0.25055137],172
[ 0.97628099  0.02371901],173
[ 0.02341229  0.97658771],174
[ 0.00999647  0.99000353],175
[ 0.07176608  0.92823392],176
[ 0.49501306  0.50498694],177
[ 0.92503464  0.07496533],178
[ 0.78000736  0.21999267],179
[ 0.04137105  0.95862895],180
[ 0.00936627  0.99063373],181
[ 0.91026068  0.08973933],182
[ 0.98640954  0.01359048],183
[ 0.98267972  0.01732027],184
[ 0.00893116  0.99106884],185
[ 0.85309541  0.14690457],186
[ 0.0271076  0.9728924],187
[ 0.46861881  0.53138119],188
[ 0.00945485  0.99054515],189
[ 0.96837986  0.03162014],190
[ 0.88676882  0.11323116],191
[ 0.98567653  0.01432346],192
[ 0.02617604  0.97382396],193
[ 0.91236955  0.08763047],194
[ 0.51781952  0.48218051],195
[ 0.0130778  0.9869222],196
[ 0.00933444  0.99066556],197
[ 0.03889787  0.96110213],198
[ 0.84330189  0.15669808],199
[ 0.35409403  0.64590597],200
[ 0.89236307  0.10763694],201
[ 0.00684655  0.99315345],202
[ 0.13799506  0.86200494],203
[ 0.91340917  0.08659084],204
[ 0.03028858  0.96971142],205
[ 0.04563922  0.95436078],206
[ 0.18374228  0.81625772],207
[ 0.01212347  0.98787653],208
[ 0.0187133  0.9812867],209
[ 0.00772893  0.99227107],210
[ 0.04965544  0.95034456],211
[ 0.9812094   0.01879063],212
[ 0.01267898  0.98732102],213
[ 0.00959963  0.99040037],214
[ 0.45086056  0.54913944],215
[ 0.04113299  0.95886701],216
[ 0.00951123  0.99048877],217
[ 0.89896166  0.10103837],218
[ 0.96309763  0.03690239],219
[ 0.97630388  0.02369612],220
[ 0.92328435  0.07671563],221
[ 0.98375946  0.01624054],222
[ 0.61364949  0.38635051],223
[ 0.01812369  0.98187631],224
[ 0.70730793  0.29269204],225
[ 0.41577375  0.58422625],226
[ 0.83260459  0.16739541],227
[ 0.58530384  0.41469616],228
[ 0.07887065  0.92112935],229
[ 0.58156282  0.41843718],230
[ 0.01594043  0.98405957],231
[ 0.83328938  0.16671064],232
[ 0.04907757  0.95092243],233
[ 0.96321189  0.03678808],234
[ 0.9774099  0.0225901],235
[ 0.55626523  0.44373474],236
[ 0.00686127  0.99313873],237
[ 0.98596013  0.01403984],238
[ 0.99049568  0.00950433],239
[ 0.4158529  0.5841471],240
[ 0.08117193  0.91882807],241
[ 0.67155254  0.32844746],242
[ 0.4202134  0.5797866],243
[ 0.29887027  0.70112973],244
[ 0.46910554  0.53089446],245
[ 0.90481359  0.09518642],246
[ 0.98887211  0.01112791],247
[ 0.00725675  0.99274325],248
[ 0.60367215  0.39632788],249
[ 0.95476687  0.04523314],250
[ 0.44811243  0.55188757],251
[ 0.27305752  0.72694248],252
[ 0.0327217  0.9672783],253
[ 0.95234871  0.04765129],254
[ 0.98998785  0.01001217],255
[ 0.0431506  0.9568494],256
[ 0.92794704  0.07205293],257
[ 0.98513633  0.0148637 ],258
[ 0.00895  0.99105],259
[ 0.98948109  0.01051892],260
[ 0.16308552  0.83691448],261
[ 0.37790591  0.62209409],262
[ 0.05132997  0.94867003],263
[ 0.01253474  0.98746526],264
[ 0.51818931  0.48181072],265
[ 0.43011153  0.56988847],266
[ 0.43107092  0.56892908],267
[ 0.93332684  0.06667319],268
[ 0.01309252  0.98690748],269
[ 0.00403166  0.99596834],270
